Station,Date,Longitude,Latitude
33,2009-10-24T18:53,-32.073,-29.984
34,2009-10-25T04:52,-31.207,-29.98
35,2009-10-25T13:38,-30.351,-29.999
36,2009-10-25T21:41,-29.504,-29.983
37,2009-10-26T06:26,-28.667,-30.002
39,2009-10-25T21:04,-26.994,-30.005
40,2009-10-27T08:26,-25.789,-30.001
41,2009-10-27T18:14,-24.612,-30.001
43,2009-10-29T02:46,-20.32,-29.99
44,2009-10-29T15:31,-18.632,-29.997
46,2009-10-30T18:32,-15.168,-29.998
47,2009-10-31T02:54,-13.55,-30.056
48,2009-10-31T11:05,-13.51,-30.007
49,2009-10-31T19:05,-12.913,-29.972
50,2009-11-01T03:18,-11.837,-30.007
51,2008-11-01T16:15,-10.177,-30.013
53,2009-11-02T17:45,-6.684,-30
54,2009-11-03T05:37,-5.044,-29.999
55,2009-11-03T19:03,-3.34,-29.99
56,2009-11-04T07:10,-1.685,-29.993
58,2009-11-05T04:55,0.827,-29.996
61,2009-11-06T04:08,3.146,-29.985
62,2009-11-06T20:40,4.52,-29.982
63,2009-11-07T21:30,6.263,-29.972
64,2009-11-08T09:30,7.999,-29.972
66,2009-11-09T03:32,8.816,-30.006
68,2009-11-09T21:43,10.537,-29.997
69,2009-11-10T04:30,11.418,-29.999
70,2009-11-10T12:40,12.176,-29.998
71,2009-11-10T17:26,12.562,-29.992
72,2009-11-10T22:01,12.968,-29.978
74,2009-11-11T07:58,13.724,-29.985
75,2009-11-11T14:02,14.095,-30
77,2009-11-11T23:34,14.494,-29.971
79,2009-11-12T04:35,14.859,-29.996
81,2009-11-12T10:26,15.253,-29.993
83,2009-11-12T15:23,15.635,-29.988
84,2009-11-12T19:50,16.009,-29.982
86,2009-11-13T03:35,16.767,-30.004
87,2009-12-01T12:00,12.445,-19.993
88,2009-12-01T15:12,12.108,-20
90,2009-12-01T20:14,11.75,-19.993
92,2009-12-02T02:09,11.389,-19.985
94,2009-12-02T08:12,10.861,-19.996
95,2009-12-02T11:12,10.518,-19.999
96,2009-12-02T15:00,10.146,-19.998
97,2009-12-02T20:06,9.793,-20.013
98,2009-12-03T00:12,9.446,-20.002
99,2009-12-03T03:40,9.093,-20
100,2009-12-03T10:10,8.728,-19.989
103,2009-12-04T00:29,8.669,-20.008
101,2009-12-03T14:21,8.378,-19.985
102,2009-12-03T18:36,8.03,-20
104,2009-12-04T05:16,7.317,-20.001
105,2009-12-04T20:08,5.827,-19.993
106,2009-12-05T12:37,3.651,-19.994
107,2009-12-06T04:41,1.499,-19.996
108,2009-12-06T21:15,0.65,-19.995
109,2009-12-07T12:39,-2.692,-20.003
112,2009-12-09T13:27,-9.12,-20.006
113,2009-12-10T03:51,-11.184,-20.001
115,2009-12-11T12:58,-15.499,-20.018
116,2009-12-12T05:16,-17.667,-19.999
117,2009-12-12T23:48,-19.817,-19.997
118,2009-12-13T16:39,-21.982,-19.999
119,2009-12-14T08:55,-23.991,-19.997
121,2009-12-15T20:38,-28.672,-20.005
122,2009-12-16T06:17,-29.738,-20.001
123,2009-12-16T16:19,-30.775,-19.998
124,2009-12-17T03:25,-31.858,-20.01
125,2009-12-17T13:43,-32.903,-20.741
126,2009-12-17T23:44,-33.962,-20.003
127,2009-12-18T08:40,-35.046,-20.001
128,2009-12-18T19:15,-36.101,-20.001
129,2009-12-19T05:11,-37.155,-20.008
130,2009-12-19T10:37,-37.462,-19.986
131,2009-12-19T17:50,-37.829,-19.995
133,2009-09-20T00:32,-38.545,-19.99
134,2009-12-20T04:14,-38.879,-20.003
135,2009-12-20T08:13,-39.245,-19.987
136,2009-12-20T12:56,-39.614,-19.978
